03BCF5 ClearImmediateFlags 20
03BCF7 CopyAbsoluteAddressToAccumulator 1F0D
03BCFA AndAccumulatorWithImmediate 00FF
03BCFD BranchToRelativeIfZero 03BD16
03BCFF CopyAbsoluteAddressToAccumulator 1FD4
03BD02 CopyAccumulatorToAbsoluteLongAddress 7000C6
03BD06 CopyAbsoluteAddressToAccumulator 1FD6
03BD09 CopyAccumulatorToAbsoluteLongAddress 7000C8
03BD0D CopyAbsoluteAddressToAccumulator 1FD8
03BD10 CopyAccumulatorToAbsoluteLongAddress 7000CA
03BD14 JumpToRelative 03BD38
03BD16 CopyDirectAddressToAccumulator C1
03BD18 CopyAccumulatorToAbsoluteLongAddress 7000C6
03BD1C CopyDirectAddressToAccumulator C3
03BD1E CopyAccumulatorToAbsoluteLongAddress 7000C8
03BD22 CopyDirectAddressToAccumulator C5
03BD24 CopyAccumulatorToAbsoluteLongAddress 7000CA
03BD28 CopyAbsoluteAddressToAccumulator 14C2
03BD2B AndAccumulatorWithImmediate 00FF
03BD2E BranchToRelativeIfZero 03BD38
03BD30 CopyAbsoluteLongAddressToAccumulator 0014CD
03BD34 CopyAccumulatorToAbsoluteLongAddress 7000CA
03BD38 CopyAbsoluteAddressToAccumulator 161B
03BD3B CopyAccumulatorToAbsoluteLongAddress 7000D2
03BD3F CopyAbsoluteAddressToAccumulator 161D
03BD42 CopyAccumulatorToAbsoluteLongAddress 7000D4
03BD46 CopyAbsoluteAddressToAccumulator 161F
03BD49 CopyAccumulatorToAbsoluteLongAddress 7000D6
03BD4D CopyAbsoluteAddressToAccumulator 1621
03BD50 CopyAccumulatorToAbsoluteLongAddress 7000D8
03BD54 CopyAbsoluteAddressToAccumulator 1623
03BD57 CopyAccumulatorToAbsoluteLongAddress 7000DA
03BD5B CopyAbsoluteAddressToAccumulator 1625
03BD5E CopyAccumulatorToAbsoluteLongAddress 7000DC
03BD62 CopyAbsoluteAddressToAccumulator 1627
03BD65 CopyAccumulatorToAbsoluteLongAddress 7000DE
03BD69 CopyAbsoluteAddressToAccumulator 1629
03BD6C CopyAccumulatorToAbsoluteLongAddress 7000E0
03BD70 CopyAbsoluteAddressToAccumulator 162B
03BD73 CopyAccumulatorToAbsoluteLongAddress 7000E2
03BD77 SetImmediateFlags 30
03BD79 ReturnToLongCaller
