1FF963 PushFlags
1FF964 SetImmediateFlags 20
1FF966 ClearImmediateFlags 10
1FF968 CallAbsoluteLongAddress 03AD73
1FF96C SetInterruptDisableFlag
1FF96D CopyImmediateToAccumulator 80
1FF96F CallAbsoluteLongAddress 02F8DF
1FF973 CopyImmediateToAccumulator C8
1FF975 CopyAccumulatorToAbsoluteAddress 16DB
1FF978 CallAbsoluteLongAddress 03BD8D
1FF97C SetImmediateFlags 20
1FF97E ClearImmediateFlags 10
1FF980 CopyImmediateToAccumulator BE
1FF982 CopyAccumulatorToAbsoluteAddress 16DB
1FF985 CallAbsoluteLongAddress 03BD8D
1FF989 SetImmediateFlags 20
1FF98B ClearImmediateFlags 10
1FF98D SetImmediateFlags 20
1FF98F CopyImmediateToAccumulator 01
1FF991 CopyAccumulatorToAbsoluteLongAddress 7EF0B3
1FF995 CopyImmediateToAccumulator 0D
1FF997 CopyImmediateToXIndex 7962
1FF99A CopyAccumulatorToAbsoluteAddress 1FF4
1FF99D CopyXIndexToAbsoluteAddress 16FD
1FF9A0 CallAbsoluteLongAddress 02E2CC
1FF9A4 CallAbsoluteLongAddress 03E8B6
1FF9A8 ClearImmediateFlags 20
1FF9AA CopyImmediateToAccumulator 0000
1FF9AD CopyAccumulatorToAbsoluteLongAddress 700090
1FF9B1 CopyImmediateToAccumulator 001F
1FF9B4 CopyAccumulatorToAbsoluteLongAddress 700064
1FF9B8 CopyImmediateToAccumulator B999
1FF9BB CopyAccumulatorToAbsoluteLongAddress 700062
1FF9BF CopyImmediateToAccumulator 6800
1FF9C2 CopyAccumulatorToAbsoluteAddress 188A
1FF9C5 CopyImmediateToAccumulator 1000
1FF9C8 CopyAccumulatorToAbsoluteAddress 188C
1FF9CB SetImmediateFlags 20
1FF9CD CallAbsoluteLongAddress 03AB2B
1FF9D1 CallAbsoluteLongAddress 7E33BA
1FF9D5 CopyImmediateToAccumulator 22
1FF9D7 CopyAccumulatorToAbsoluteAddress 4301
1FF9DA CopyImmediateToAccumulator 80
1FF9DC CopyAccumulatorToAbsoluteAddress 2121
1FF9DF CopyImmediateToXIndex 0540
1FF9E2 CopyXIndexToAbsoluteAddress 4302
1FF9E5 CopyImmediateToAccumulator 7F
1FF9E7 CopyAccumulatorToAbsoluteAddress 4304
1FF9EA CopyImmediateToXIndex 0100
1FF9ED CopyXIndexToAbsoluteAddress 4305
1FF9F0 CopyImmediateToAccumulator 00
1FF9F2 CopyAccumulatorToAbsoluteAddress 4300
1FF9F5 CopyImmediateToAccumulator 01
1FF9F7 CopyAccumulatorToAbsoluteAddress 420B
1FF9FA CopyImmediateToAccumulator 41
1FF9FC CopyAccumulatorToAbsoluteLongAddress 7E45F3
